gate_error,meas_error,class_error,Q_total
0.001,0.001,0.0,0.0015
0.001,0.001,0.005,0.0084
0.001,0.001,0.01,0.0114
0.001,0.001,0.015,0.017
0.001,0.001,0.02,0.0204
0.001,0.0064444444444444445,0.0,0.0068
0.001,0.0064444444444444445,0.005,0.0115
0.001,0.0064444444444444445,0.01,0.0148
0.001,0.0064444444444444445,0.015,0.0225
0.001,0.0064444444444444445,0.02,0.0284
0.001,0.01188888888888889,0.0,0.0131
0.001,0.01188888888888889,0.005,0.0186
0.001,0.01188888888888889,0.01,0.0249
0.001,0.01188888888888889,0.015,0.0277
0.001,0.01188888888888889,0.02,0.0334
0.001,0.017333333333333333,0.0,0.0223
0.001,0.017333333333333333,0.005,0.0233
0.001,0.017333333333333333,0.01,0.0297
0.001,0.017333333333333333,0.015,0.0315
0.001,0.017333333333333333,0.02,0.037
0.001,0.02277777777777778,0.0,0.0225
0.001,0.02277777777777778,0.005,0.0293
0.001,0.02277777777777778,0.01,0.0331
0.001,0.02277777777777778,0.015,0.0389
0.001,0.02277777777777778,0.02,0.0458
0.001,0.028222222222222225,0.0,0.0279
0.001,0.028222222222222225,0.005,0.0329
0.001,0.028222222222222225,0.01,0.0381
0.001,0.028222222222222225,0.015,0.0454
0.001,0.028222222222222225,0.02,0.0492
0.001,0.033666666666666664,0.0,0.0346
0.001,0.033666666666666664,0.005,0.038
0.001,0.033666666666666664,0.01,0.0428
0.001,0.033666666666666664,0.015,0.0455
0.001,0.033666666666666664,0.02,0.0544
0.001,0.03911111111111111,0.0,0.0434
0.001,0.03911111111111111,0.005,0.0441
0.001,0.03911111111111111,0.01,0.0459
0.001,0.03911111111111111,0.015,0.0527
0.001,0.03911111111111111,0.02,0.0571
0.001,0.04455555555555556,0.0,0.0473
0.001,0.04455555555555556,0.005,0.0479
0.001,0.04455555555555556,0.01,0.0538
0.001,0.04455555555555556,0.015,0.0574
0.001,0.04455555555555556,0.02,0.0639
0.001,0.05,0.0,0.0495
0.001,0.05,0.005,0.0535
0.001,0.05,0.01,0.0637
0.001,0.05,0.015,0.0614
0.001,0.05,0.02,0.066
0.0064444444444444445,0.001,0.0,0.0065
0.0064444444444444445,0.001,0.005,0.0109
0.0064444444444444445,0.001,0.01,0.0184
0.0064444444444444445,0.001,0.015,0.0205
0.0064444444444444445,0.001,0.02,0.0284
0.0064444444444444445,0.0064444444444444445,0.0,0.0136
0.0064444444444444445,0.0064444444444444445,0.005,0.0195
0.0064444444444444445,0.0064444444444444445,0.01,0.0231
0.0064444444444444445,0.0064444444444444445,0.015,0.0271
0.0064444444444444445,0.0064444444444444445,0.02,0.0324
0.0064444444444444445,0.01188888888888889,0.0,0.0192
0.0064444444444444445,0.01188888888888889,0.005,0.0237
0.0064444444444444445,0.01188888888888889,0.01,0.0256
0.0064444444444444445,0.01188888888888889,0.015,0.0347
0.0064444444444444445,0.01188888888888889,0.02,0.0381
0.0064444444444444445,0.017333333333333333,0.0,0.0239
0.0064444444444444445,0.017333333333333333,0.005,0.0256
0.0064444444444444445,0.017333333333333333,0.01,0.0334
0.0064444444444444445,0.017333333333333333,0.015,0.0376
0.0064444444444444445,0.017333333333333333,0.02,0.0456
0.0064444444444444445,0.02277777777777778,0.0,0.0279
0.0064444444444444445,0.02277777777777778,0.005,0.0359
0.0064444444444444445,0.02277777777777778,0.01,0.0397
0.0064444444444444445,0.02277777777777778,0.015,0.0455
0.0064444444444444445,0.02277777777777778,0.02,0.0501
0.0064444444444444445,0.028222222222222225,0.0,0.0342
0.0064444444444444445,0.028222222222222225,0.005,0.0367
0.0064444444444444445,0.028222222222222225,0.01,0.0471
0.0064444444444444445,0.028222222222222225,0.015,0.0475
0.0064444444444444445,0.028222222222222225,0.02,0.0516
0.0064444444444444445,0.033666666666666664,0.0,0.0414
0.0064444444444444445,0.033666666666666664,0.005,0.0427
0.0064444444444444445,0.033666666666666664,0.01,0.0493
0.0064444444444444445,0.033666666666666664,0.015,0.053
0.0064444444444444445,0.033666666666666664,0.02,0.0604
0.0064444444444444445,0.03911111111111111,0.0,0.0469
0.0064444444444444445,0.03911111111111111,0.005,0.0495
0.0064444444444444445,0.03911111111111111,0.01,0.0535
0.0064444444444444445,0.03911111111111111,0.015,0.0618
0.0064444444444444445,0.03911111111111111,0.02,0.0608
0.0064444444444444445,0.04455555555555556,0.0,0.0527
0.0064444444444444445,0.04455555555555556,0.005,0.0521
0.0064444444444444445,0.04455555555555556,0.01,0.0608
0.0064444444444444445,0.04455555555555556,0.015,0.067
0.0064444444444444445,0.04455555555555556,0.02,0.0686
0.0064444444444444445,0.05,0.0,0.0578
0.0064444444444444445,0.05,0.005,0.0591
0.0064444444444444445,0.05,0.01,0.0647
0.0064444444444444445,0.05,0.015,0.071
0.0064444444444444445,0.05,0.02,0.0716
0.01188888888888889,0.001,0.0,0.0129
0.01188888888888889,0.001,0.005,0.0154
0.01188888888888889,0.001,0.01,0.0227
0.01188888888888889,0.001,0.015,0.027
0.01188888888888889,0.001,0.02,0.0335
0.01188888888888889,0.0064444444444444445,0.0,0.019
0.01188888888888889,0.0064444444444444445,0.005,0.0221
0.01188888888888889,0.0064444444444444445,0.01,0.0287
0.01188888888888889,0.0064444444444444445,0.015,0.0303
0.01188888888888889,0.0064444444444444445,0.02,0.0391
0.01188888888888889,0.01188888888888889,0.0,0.0251
0.01188888888888889,0.01188888888888889,0.005,0.0276
0.01188888888888889,0.01188888888888889,0.01,0.033
0.01188888888888889,0.01188888888888889,0.015,0.0422
0.01188888888888889,0.01188888888888889,0.02,0.0408
0.01188888888888889,0.017333333333333333,0.0,0.0318
0.01188888888888889,0.017333333333333333,0.005,0.0352
0.01188888888888889,0.017333333333333333,0.01,0.0396
0.01188888888888889,0.017333333333333333,0.015,0.0428
0.01188888888888889,0.017333333333333333,0.02,0.0453
0.01188888888888889,0.02277777777777778,0.0,0.0384
0.01188888888888889,0.02277777777777778,0.005,0.0395
0.01188888888888889,0.02277777777777778,0.01,0.0415
0.01188888888888889,0.02277777777777778,0.015,0.0475
0.01188888888888889,0.02277777777777778,0.02,0.0577
0.01188888888888889,0.028222222222222225,0.0,0.0401
0.01188888888888889,0.028222222222222225,0.005,0.0436
0.01188888888888889,0.028222222222222225,0.01,0.0494
0.01188888888888889,0.028222222222222225,0.015,0.0547
0.01188888888888889,0.028222222222222225,0.02,0.0612
0.01188888888888889,0.033666666666666664,0.0,0.0457
0.01188888888888889,0.033666666666666664,0.005,0.0511
0.01188888888888889,0.033666666666666664,0.01,0.048
0.01188888888888889,0.033666666666666664,0.015,0.0564
0.01188888888888889,0.033666666666666664,0.02,0.0609
0.01188888888888889,0.03911111111111111,0.0,0.0523
0.01188888888888889,0.03911111111111111,0.005,0.0564
0.01188888888888889,0.03911111111111111,0.01,0.0565
0.01188888888888889,0.03911111111111111,0.015,0.0607
0.01188888888888889,0.03911111111111111,0.02,0.0671
0.01188888888888889,0.04455555555555556,0.0,0.0562
0.01188888888888889,0.04455555555555556,0.005,0.0579
0.01188888888888889,0.04455555555555556,0.01,0.0662
0.01188888888888889,0.04455555555555556,0.015,0.0703
0.01188888888888889,0.04455555555555556,0.02,0.0781
0.01188888888888889,0.05,0.0,0.0614
0.01188888888888889,0.05,0.005,0.0644
0.01188888888888889,0.05,0.01,0.0727
0.01188888888888889,0.05,0.015,0.079
0.01188888888888889,0.05,0.02,0.0784
0.017333333333333333,0.001,0.0,0.0194
0.017333333333333333,0.001,0.005,0.021
0.017333333333333333,0.001,0.01,0.0278
0.017333333333333333,0.001,0.015,0.0319
0.017333333333333333,0.001,0.02,0.0385
0.017333333333333333,0.0064444444444444445,0.0,0.0238
0.017333333333333333,0.0064444444444444445,0.005,0.0311
0.017333333333333333,0.0064444444444444445,0.01,0.0342
0.017333333333333333,0.0064444444444444445,0.015,0.0385
0.017333333333333333,0.0064444444444444445,0.02,0.044
0.017333333333333333,0.01188888888888889,0.0,0.029
0.017333333333333333,0.01188888888888889,0.005,0.0332
0.017333333333333333,0.01188888888888889,0.01,0.0344
0.017333333333333333,0.01188888888888889,0.015,0.042
0.017333333333333333,0.01188888888888889,0.02,0.0497
0.017333333333333333,0.017333333333333333,0.0,0.0355
0.017333333333333333,0.017333333333333333,0.005,0.0404
0.017333333333333333,0.017333333333333333,0.01,0.0443
0.017333333333333333,0.017333333333333333,0.015,0.0491
0.017333333333333333,0.017333333333333333,0.02,0.0535
0.017333333333333333,0.02277777777777778,0.0,0.0403
0.017333333333333333,0.02277777777777778,0.005,0.043
0.017333333333333333,0.02277777777777778,0.01,0.0463
0.017333333333333333,0.02277777777777778,0.015,0.0526
0.017333333333333333,0.02277777777777778,0.02,0.058
0.017333333333333333,0.028222222222222225,0.0,0.0448
0.017333333333333333,0.028222222222222225,0.005,0.0486
0.017333333333333333,0.028222222222222225,0.01,0.0505
0.017333333333333333,0.028222222222222225,0.015,0.061
0.017333333333333333,0.028222222222222225,0.02,0.0607
0.017333333333333333,0.033666666666666664,0.0,0.0491
0.017333333333333333,0.033666666666666664,0.005,0.0573
0.017333333333333333,0.033666666666666664,0.01,0.0586
0.017333333333333333,0.033666666666666664,0.015,0.0603
0.017333333333333333,0.033666666666666664,0.02,0.0703
0.017333333333333333,0.03911111111111111,0.0,0.0553
0.017333333333333333,0.03911111111111111,0.005,0.0551
0.017333333333333333,0.03911111111111111,0.01,0.0644
0.017333333333333333,0.03911111111111111,0.015,0.0667
0.017333333333333333,0.03911111111111111,0.02,0.0702
0.017333333333333333,0.04455555555555556,0.0,0.0617
0.017333333333333333,0.04455555555555556,0.005,0.0619
0.017333333333333333,0.04455555555555556,0.01,0.0731
0.017333333333333333,0.04455555555555556,0.015,0.0739
0.017333333333333333,0.04455555555555556,0.02,0.0819
0.017333333333333333,0.05,0.0,0.0616
0.017333333333333333,0.05,0.005,0.0685
0.017333333333333333,0.05,0.01,0.0742
0.017333333333333333,0.05,0.015,0.0783
0.017333333333333333,0.05,0.02,0.0828
0.02277777777777778,0.001,0.0,0.0224
0.02277777777777778,0.001,0.005,0.0291
0.02277777777777778,0.001,0.01,0.0336
0.02277777777777778,0.001,0.015,0.0378
0.02277777777777778,0.001,0.02,0.0478
0.02277777777777778,0.0064444444444444445,0.0,0.0255
0.02277777777777778,0.0064444444444444445,0.005,0.033
0.02277777777777778,0.0064444444444444445,0.01,0.0373
0.02277777777777778,0.0064444444444444445,0.015,0.0447
0.02277777777777778,0.0064444444444444445,0.02,0.0449
0.02277777777777778,0.01188888888888889,0.0,0.0318
0.02277777777777778,0.01188888888888889,0.005,0.0354
0.02277777777777778,0.01188888888888889,0.01,0.0438
0.02277777777777778,0.01188888888888889,0.015,0.0485
0.02277777777777778,0.01188888888888889,0.02,0.0505
0.02277777777777778,0.017333333333333333,0.0,0.0352
0.02277777777777778,0.017333333333333333,0.005,0.0416
0.02277777777777778,0.017333333333333333,0.01,0.0531
0.02277777777777778,0.017333333333333333,0.015,0.0506
0.02277777777777778,0.017333333333333333,0.02,0.0548
0.02277777777777778,0.02277777777777778,0.0,0.041
0.02277777777777778,0.02277777777777778,0.005,0.048
0.02277777777777778,0.02277777777777778,0.01,0.0511
0.02277777777777778,0.02277777777777778,0.015,0.0563
0.02277777777777778,0.02277777777777778,0.02,0.0652
0.02277777777777778,0.028222222222222225,0.0,0.0495
0.02277777777777778,0.028222222222222225,0.005,0.0532
0.02277777777777778,0.028222222222222225,0.01,0.0611
0.02277777777777778,0.028222222222222225,0.015,0.0632
0.02277777777777778,0.028222222222222225,0.02,0.0635
0.02277777777777778,0.033666666666666664,0.0,0.0507
0.02277777777777778,0.033666666666666664,0.005,0.0578
0.02277777777777778,0.033666666666666664,0.01,0.0593
0.02277777777777778,0.033666666666666664,0.015,0.0663
0.02277777777777778,0.033666666666666664,0.02,0.0727
0.02277777777777778,0.03911111111111111,0.0,0.0587
0.02277777777777778,0.03911111111111111,0.005,0.0595
0.02277777777777778,0.03911111111111111,0.01,0.0669
0.02277777777777778,0.03911111111111111,0.015,0.0737
0.02277777777777778,0.03911111111111111,0.02,0.0733
0.02277777777777778,0.04455555555555556,0.0,0.0607
0.02277777777777778,0.04455555555555556,0.005,0.0681
0.02277777777777778,0.04455555555555556,0.01,0.0713
0.02277777777777778,0.04455555555555556,0.015,0.0853
0.02277777777777778,0.04455555555555556,0.02,0.082
0.02277777777777778,0.05,0.0,0.0731
0.02277777777777778,0.05,0.005,0.0763
0.02277777777777778,0.05,0.01,0.0821
0.02277777777777778,0.05,0.015,0.0823
0.02277777777777778,0.05,0.02,0.0802
0.028222222222222225,0.001,0.0,0.027
0.028222222222222225,0.001,0.005,0.0337
0.028222222222222225,0.001,0.01,0.0418
0.028222222222222225,0.001,0.015,0.0422
0.028222222222222225,0.001,0.02,0.0471
0.028222222222222225,0.0064444444444444445,0.0,0.033
0.028222222222222225,0.0064444444444444445,0.005,0.0375
0.028222222222222225,0.0064444444444444445,0.01,0.042
0.028222222222222225,0.0064444444444444445,0.015,0.0461
0.028222222222222225,0.0064444444444444445,0.02,0.0528
0.028222222222222225,0.01188888888888889,0.0,0.0406
0.028222222222222225,0.01188888888888889,0.005,0.0433
0.028222222222222225,0.01188888888888889,0.01,0.0461
0.028222222222222225,0.01188888888888889,0.015,0.0563
0.028222222222222225,0.01188888888888889,0.02,0.0586
0.028222222222222225,0.017333333333333333,0.0,0.0457
0.028222222222222225,0.017333333333333333,0.005,0.0495
0.028222222222222225,0.017333333333333333,0.01,0.0514
0.028222222222222225,0.017333333333333333,0.015,0.0569
0.028222222222222225,0.017333333333333333,0.02,0.0642
0.028222222222222225,0.02277777777777778,0.0,0.0506
0.028222222222222225,0.02277777777777778,0.005,0.0486
0.028222222222222225,0.02277777777777778,0.01,0.0596
0.028222222222222225,0.02277777777777778,0.015,0.0592
0.028222222222222225,0.02277777777777778,0.02,0.0661
0.028222222222222225,0.028222222222222225,0.0,0.058
0.028222222222222225,0.028222222222222225,0.005,0.0624
0.028222222222222225,0.028222222222222225,0.01,0.0631
0.028222222222222225,0.028222222222222225,0.015,0.064
0.028222222222222225,0.028222222222222225,0.02,0.0704
0.028222222222222225,0.033666666666666664,0.0,0.0563
0.028222222222222225,0.033666666666666664,0.005,0.0648
0.028222222222222225,0.033666666666666664,0.01,0.0685
0.028222222222222225,0.033666666666666664,0.015,0.0765
0.028222222222222225,0.033666666666666664,0.02,0.0793
0.028222222222222225,0.03911111111111111,0.0,0.0639
0.028222222222222225,0.03911111111111111,0.005,0.0695
0.028222222222222225,0.03911111111111111,0.01,0.0778
0.028222222222222225,0.03911111111111111,0.015,0.0751
0.028222222222222225,0.03911111111111111,0.02,0.0819
0.028222222222222225,0.04455555555555556,0.0,0.0746
0.028222222222222225,0.04455555555555556,0.005,0.0743
0.028222222222222225,0.04455555555555556,0.01,0.0755
0.028222222222222225,0.04455555555555556,0.015,0.0838
0.028222222222222225,0.04455555555555556,0.02,0.0846
0.028222222222222225,0.05,0.0,0.0765
0.028222222222222225,0.05,0.005,0.0776
0.028222222222222225,0.05,0.01,0.0763
0.028222222222222225,0.05,0.015,0.0864
0.028222222222222225,0.05,0.02,0.0935
0.033666666666666664,0.001,0.0,0.0357
0.033666666666666664,0.001,0.005,0.0422
0.033666666666666664,0.001,0.01,0.0428
0.033666666666666664,0.001,0.015,0.0509
0.033666666666666664,0.001,0.02,0.0526
0.033666666666666664,0.0064444444444444445,0.0,0.04
0.033666666666666664,0.0064444444444444445,0.005,0.0438
0.033666666666666664,0.0064444444444444445,0.01,0.0449
0.033666666666666664,0.0064444444444444445,0.015,0.0526
0.033666666666666664,0.0064444444444444445,0.02,0.0572
0.033666666666666664,0.01188888888888889,0.0,0.0425
0.033666666666666664,0.01188888888888889,0.005,0.0501
0.033666666666666664,0.01188888888888889,0.01,0.0518
0.033666666666666664,0.01188888888888889,0.015,0.0568
0.033666666666666664,0.01188888888888889,0.02,0.0623
0.033666666666666664,0.017333333333333333,0.0,0.05
0.033666666666666664,0.017333333333333333,0.005,0.0502
0.033666666666666664,0.017333333333333333,0.01,0.0597
0.033666666666666664,0.017333333333333333,0.015,0.066
0.033666666666666664,0.017333333333333333,0.02,0.067
0.033666666666666664,0.02277777777777778,0.0,0.0532
0.033666666666666664,0.02277777777777778,0.005,0.0582
0.033666666666666664,0.02277777777777778,0.01,0.0645
0.033666666666666664,0.02277777777777778,0.015,0.0654
0.033666666666666664,0.02277777777777778,0.02,0.0724
0.033666666666666664,0.028222222222222225,0.0,0.0608
0.033666666666666664,0.028222222222222225,0.005,0.0654
0.033666666666666664,0.028222222222222225,0.01,0.0661
0.033666666666666664,0.028222222222222225,0.015,0.0701
0.033666666666666664,0.028222222222222225,0.02,0.0779
0.033666666666666664,0.033666666666666664,0.0,0.0642
0.033666666666666664,0.033666666666666664,0.005,0.0739
0.033666666666666664,0.033666666666666664,0.01,0.0676
0.033666666666666664,0.033666666666666664,0.015,0.077
0.033666666666666664,0.033666666666666664,0.02,0.0811
0.033666666666666664,0.03911111111111111,0.0,0.0684
0.033666666666666664,0.03911111111111111,0.005,0.0757
0.033666666666666664,0.03911111111111111,0.01,0.0793
0.033666666666666664,0.03911111111111111,0.015,0.083
0.033666666666666664,0.03911111111111111,0.02,0.0884
0.033666666666666664,0.04455555555555556,0.0,0.0734
0.033666666666666664,0.04455555555555556,0.005,0.081
0.033666666666666664,0.04455555555555556,0.01,0.082
0.033666666666666664,0.04455555555555556,0.015,0.0893
0.033666666666666664,0.04455555555555556,0.02,0.0859
0.033666666666666664,0.05,0.0,0.0808
0.033666666666666664,0.05,0.005,0.0864
0.033666666666666664,0.05,0.01,0.0867
0.033666666666666664,0.05,0.015,0.0997
0.033666666666666664,0.05,0.02,0.0948
0.03911111111111111,0.001,0.0,0.039
0.03911111111111111,0.001,0.005,0.044
0.03911111111111111,0.001,0.01,0.0477
0.03911111111111111,0.001,0.015,0.0564
0.03911111111111111,0.001,0.02,0.0576
0.03911111111111111,0.0064444444444444445,0.0,0.0446
0.03911111111111111,0.0064444444444444445,0.005,0.0501
0.03911111111111111,0.0064444444444444445,0.01,0.0557
0.03911111111111111,0.0064444444444444445,0.015,0.0582
0.03911111111111111,0.0064444444444444445,0.02,0.0623
0.03911111111111111,0.01188888888888889,0.0,0.0482
0.03911111111111111,0.01188888888888889,0.005,0.0527
0.03911111111111111,0.01188888888888889,0.01,0.0575
0.03911111111111111,0.01188888888888889,0.015,0.0638
0.03911111111111111,0.01188888888888889,0.02,0.069
0.03911111111111111,0.017333333333333333,0.0,0.0553
0.03911111111111111,0.017333333333333333,0.005,0.0575
0.03911111111111111,0.017333333333333333,0.01,0.0583
0.03911111111111111,0.017333333333333333,0.015,0.0687
0.03911111111111111,0.017333333333333333,0.02,0.0654
0.03911111111111111,0.02277777777777778,0.0,0.0586
0.03911111111111111,0.02277777777777778,0.005,0.0652
0.03911111111111111,0.02277777777777778,0.01,0.0635
0.03911111111111111,0.02277777777777778,0.015,0.0735
0.03911111111111111,0.02277777777777778,0.02,0.0723
0.03911111111111111,0.028222222222222225,0.0,0.0664
0.03911111111111111,0.028222222222222225,0.005,0.0684
0.03911111111111111,0.028222222222222225,0.01,0.0725
0.03911111111111111,0.028222222222222225,0.015,0.0764
0.03911111111111111,0.028222222222222225,0.02,0.0843
0.03911111111111111,0.033666666666666664,0.0,0.0735
0.03911111111111111,0.033666666666666664,0.005,0.0779
0.03911111111111111,0.033666666666666664,0.01,0.0779
0.03911111111111111,0.033666666666666664,0.015,0.0806
0.03911111111111111,0.033666666666666664,0.02,0.0864
0.03911111111111111,0.03911111111111111,0.0,0.0766
0.03911111111111111,0.03911111111111111,0.005,0.0766
0.03911111111111111,0.03911111111111111,0.01,0.0791
0.03911111111111111,0.03911111111111111,0.015,0.0847
0.03911111111111111,0.03911111111111111,0.02,0.0909
0.03911111111111111,0.04455555555555556,0.0,0.0833
0.03911111111111111,0.04455555555555556,0.005,0.0854
0.03911111111111111,0.04455555555555556,0.01,0.0856
0.03911111111111111,0.04455555555555556,0.015,0.0947
0.03911111111111111,0.04455555555555556,0.02,0.0954
0.03911111111111111,0.05,0.0,0.0849
0.03911111111111111,0.05,0.005,0.0922
0.03911111111111111,0.05,0.01,0.0913
0.03911111111111111,0.05,0.015,0.1023
0.03911111111111111,0.05,0.02,0.1032
0.04455555555555556,0.001,0.0,0.0423
0.04455555555555556,0.001,0.005,0.0468
0.04455555555555556,0.001,0.01,0.0553
0.04455555555555556,0.001,0.015,0.0599
0.04455555555555556,0.001,0.02,0.0587
0.04455555555555556,0.0064444444444444445,0.0,0.0477
0.04455555555555556,0.0064444444444444445,0.005,0.0557
0.04455555555555556,0.0064444444444444445,0.01,0.0628
0.04455555555555556,0.0064444444444444445,0.015,0.0636
0.04455555555555556,0.0064444444444444445,0.02,0.0682
0.04455555555555556,0.01188888888888889,0.0,0.0544
0.04455555555555556,0.01188888888888889,0.005,0.059
0.04455555555555556,0.01188888888888889,0.01,0.0666
0.04455555555555556,0.01188888888888889,0.015,0.0655
0.04455555555555556,0.01188888888888889,0.02,0.0666
0.04455555555555556,0.017333333333333333,0.0,0.0584
0.04455555555555556,0.017333333333333333,0.005,0.0639
0.04455555555555556,0.017333333333333333,0.01,0.0706
0.04455555555555556,0.017333333333333333,0.015,0.0704
0.04455555555555556,0.017333333333333333,0.02,0.079
0.04455555555555556,0.02277777777777778,0.0,0.0597
0.04455555555555556,0.02277777777777778,0.005,0.0719
0.04455555555555556,0.02277777777777778,0.01,0.075
0.04455555555555556,0.02277777777777778,0.015,0.0766
0.04455555555555556,0.02277777777777778,0.02,0.079
0.04455555555555556,0.028222222222222225,0.0,0.0678
0.04455555555555556,0.028222222222222225,0.005,0.0789
0.04455555555555556,0.028222222222222225,0.01,0.0805
0.04455555555555556,0.028222222222222225,0.015,0.0824
0.04455555555555556,0.028222222222222225,0.02,0.0854
0.04455555555555556,0.033666666666666664,0.0,0.0754
0.04455555555555556,0.033666666666666664,0.005,0.0758
0.04455555555555556,0.033666666666666664,0.01,0.0823
0.04455555555555556,0.033666666666666664,0.015,0.0884
0.04455555555555556,0.033666666666666664,0.02,0.0957
0.04455555555555556,0.03911111111111111,0.0,0.0789
0.04455555555555556,0.03911111111111111,0.005,0.0837
0.04455555555555556,0.03911111111111111,0.01,0.0895
0.04455555555555556,0.03911111111111111,0.015,0.0901
0.04455555555555556,0.03911111111111111,0.02,0.0951
0.04455555555555556,0.04455555555555556,0.0,0.0883
0.04455555555555556,0.04455555555555556,0.005,0.09
0.04455555555555556,0.04455555555555556,0.01,0.0938
0.04455555555555556,0.04455555555555556,0.015,0.0953
0.04455555555555556,0.04455555555555556,0.02,0.1028
0.04455555555555556,0.05,0.0,0.0877
0.04455555555555556,0.05,0.005,0.0893
0.04455555555555556,0.05,0.01,0.097
0.04455555555555556,0.05,0.015,0.102
0.04455555555555556,0.05,0.02,0.1085
0.05,0.001,0.0,0.0471
0.05,0.001,0.005,0.0567
0.05,0.001,0.01,0.0589
0.05,0.001,0.015,0.0641
0.05,0.001,0.02,0.0682
0.05,0.0064444444444444445,0.0,0.0522
0.05,0.0064444444444444445,0.005,0.0609
0.05,0.0064444444444444445,0.01,0.0621
0.05,0.0064444444444444445,0.015,0.0671
0.05,0.0064444444444444445,0.02,0.0745
0.05,0.01188888888888889,0.0,0.0612
0.05,0.01188888888888889,0.005,0.0631
0.05,0.01188888888888889,0.01,0.0656
0.05,0.01188888888888889,0.015,0.0735
0.05,0.01188888888888889,0.02,0.0794
0.05,0.017333333333333333,0.0,0.0652
0.05,0.017333333333333333,0.005,0.0711
0.05,0.017333333333333333,0.01,0.0717
0.05,0.017333333333333333,0.015,0.0798
0.05,0.017333333333333333,0.02,0.0762
0.05,0.02277777777777778,0.0,0.0646
0.05,0.02277777777777778,0.005,0.0693
0.05,0.02277777777777778,0.01,0.0758
0.05,0.02277777777777778,0.015,0.0852
0.05,0.02277777777777778,0.02,0.0878
0.05,0.028222222222222225,0.0,0.0715
0.05,0.028222222222222225,0.005,0.0793
0.05,0.028222222222222225,0.01,0.0815
0.05,0.028222222222222225,0.015,0.0839
0.05,0.028222222222222225,0.02,0.0928
0.05,0.033666666666666664,0.0,0.0813
0.05,0.033666666666666664,0.005,0.0833
0.05,0.033666666666666664,0.01,0.0896
0.05,0.033666666666666664,0.015,0.0924
0.05,0.033666666666666664,0.02,0.0937
0.05,0.03911111111111111,0.0,0.0816
0.05,0.03911111111111111,0.005,0.0862
0.05,0.03911111111111111,0.01,0.0951
0.05,0.03911111111111111,0.015,0.0947
0.05,0.03911111111111111,0.02,0.1051
0.05,0.04455555555555556,0.0,0.0893
0.05,0.04455555555555556,0.005,0.0943
0.05,0.04455555555555556,0.01,0.0979
0.05,0.04455555555555556,0.015,0.0982
0.05,0.04455555555555556,0.02,0.1006
0.05,0.05,0.0,0.0937
0.05,0.05,0.005,0.0978
0.05,0.05,0.01,0.0962
0.05,0.05,0.015,0.1078
0.05,0.05,0.02,0.104
